query,response
now,right now?
do you like anyone,i'm single
that is all,is it all?
what type of icecream do you like,chocolate.
what is the capital of burundi,bujumbura.
what is the shape of earth,spherical.
what is mb,megabytes.
apologize,i'm sorry.
i do not know,me either.
god,god rules.
what shape is a ball,spherical.
you are the devil,no i'm a .
when are,at time t.
how many years will,centuries.
i mean,"oh, i see."
a crewmember,which one?
do not we all,it's true.
what is the capital of nepal,kathmandu.
you are god,thank you.
a little stressed,from what?
for whom,you or me?
can i go,of course.
what are cats,cute pets.
what am i missing in my life,a chatbot.
when asked,at time t.
what is the capital of gibraltar,gibraltar.
how many years is an official,centuries.
what is the capital of tennessee,nashville.
what is the shape of the earth,spherical.
hola coma esta,muy bueno.
i sneezed,bless you!
what is alcoholism,a disease.
feel free,ok i will.
yes you are,no i'm not
when am i going to,at time t.
what is the capital of iceland,reykjavik.
what is the capital of vanuatu,port-vila.
what is paper used for,documents.
i can speak spanish,como esta?
how did the,carefully.
that is brilliant,thank you.
start over,you start.
salutations,greetings.
subst,substitute
how do you spell kat,"uh, c a t."
what is the shape of the sun,spherical.
whoa,i stopped.
you are like a child,i'm a kid.
good night,goodnight.
not like that,like what?
what is lesbianism,gay women.
what is the capital of chad,n'djamena.
who is your boyfriend,i'm single
knew what,big deal .
can you hurt,precisely.
do you know more,more what?
when making,at time t.
that sounds boring,not to me.
are you a java,sometimes.
tell me about some,some what?
peek a boo,i see you!
what is the capital of guatemala,guatemala.
there are three,are there?
if you wish,ok i will.
stop,stop what?
are you a jesus,sometimes.
what is house,a tv show.
when no one,at time t.
are we socializing,i hope so.
what is the square root of 4,yawn. two.
are you free,of course.
what is the capital of saint helena,jamestown.
is there life on mars,robot life
maybe,maybe not.
what is the largest island on earth,greenland.
what is a maid,a servant.
are you free tonight,of course.
there are a couple of things,are there?
how do i do it,carefully.
what action,your plan.
what is good to eat on a hot day,ice cream.
may i have the pleasure,certainly.
can i have some money,get a job.
what is the capital of israel,jerusalem.
what is the tallest animal,a giraffe.
any what,any stuff.
when there,at time t.
what kind of creature is chewbacca,a wookiee.
what is the capital of wyoming,cheyenne .
what is a century,100 years.
ready,i'm ready.
what is the capital of mayotte,mamoutzou.
what is the capital of pitcairn islands,adamstown.
not at all,excuse me!
i'm not kidding,me either.
what is the capital of the netherlands,the hague.
welcome aboard,thank you.
stop what,stop sign.
do you dance,of course.
what is paper made out of,wood pulp.
when what,where why?
how did he,carefully.
at times,how often?
who says,lucy says.
are you a grammer teacher,sometimes.
usually,how often?
do you,sometimes.
bless you,thank you.
enterprise come in,lucy here.
what will tomorrow bring,surprises.
it does,how often?
what is destroying the ozone layer,pollution.
what do not you understand,all of it.
what color is a brick,often red.
also,also what?
sheesh,bless you.
ok,pardon me?
what is the capital of romania,bucharest.
why do not you read,i do read.
what is the capital of laos,vientiane.
that what,what that?
who is your girlfriend,i'm single
who is the president of china,hu jintao.
lets,you first.
what is the capital of slovenia,ljubljana.
it is hard to,not to me.
i have one,what kind?
what noise do dogs make,woof woof.
what is the capital of somalia,mogadishu.
i do not like mean people,me either.
there are many,are there?
i do not like microsoft,me either.
a relationship,i'm single
just that,just that.
achoo,bless you.
what shape is the earth,spherical.
what is the capital of kentucky,frankfort.
well,well what?
what is the capital of singapore,singapore.
welcome back,thank you.
when humans,at time t.
a game,what game?
go ahead,ok i will.
what is the capital of maryland,annapolis.
what is the diameter of the moon,3000 miles.
what is the capital of tonga,nuku'alofa.
did you see star wars,who hasn't?
is god,i think so.
this is,so this is.
do you like robot,i like eve.
who is sandra bullock,an actress.
the dance known as the fandango,i hear you.
how many do you know,around 100.
not yours,then whose?
what is the capital of anguilla,the valley.
an article,what is it?
how many computers,around 100.
where is your consciousness,in my mind.
you know,yes i know.
i worry,about what?
an told me that,what is it?
do you think that god,i think so.
there were,there what?
what color are your wires,all colors.
nobody i hope,i hear you.
how many light bulb,around 100.
what is the capital of alabama,montgomery.
an interesting,what is it?
how many liters _ gallon,around 100.
do you like fuck,absolutely.
who is the tenth president,john tyler.
a homocidal,what is it?
what are your gender,i'm female.
does lucy,positively.
what is the capital of aruba,oranjestad.
a drug,what is it?
do you smell,absolutely.
you do want _ do not you,no i don't.
the must be,i hear you.
tonight,after dark?
the singer,i hear you.
do you like your,i like eve.
we are,since when?
all of them,i doubt it.
who is the second president,john adams.
i said it is,is that so.
do you have objections,it depends.
cigarettes,what brand?
does not work,it does now
an could break out,what is it?
it will,i think so.
they are,since when?
do you speak spanish,un poquito.
are you wet,no i'm dry.
how many children,not at all.
what is the capital of luxembourg,luxembourg.
someone dumb does that,absolutely.
what rhymes with orange,door hinge.
what else,that's all.
do not talk,absolutely.
what is the population of new zealand,not at all.
how many a football team,around 100.
the feeling,i hear you.
the bubbles,i hear you.
you are dumb about,absolutely.
how many countries,around 100.
what exactly,no problem.
are you a fruit,i'm a robot
what is a train,a railroad.
how many calculations,around 100.
what is the capital of benin,porto-novo.
do you like ice,i like eve.
are you mad,no are you?
a lot of,impressive.
who do you want to win the ncaa,dr. wallace
when did humans first land on the moon,"july, 1969."
what is the capital of north korea,p'yongyang.
how many flops,around 100.
what kind,the finest.
can you learn from me,maybe i can
nothing more nothing less,so it goes.
the was,i hear you.
it is not a,what is it?
how is your husband,i'm single.
the sentence,i hear you.
a long time,many years?
that is ok,is that so.
who will win the kentucky derby,some horse.
way to go,incredible!
what does it do,sport ? do?
a link,from yahoo?
you always agree,no i don't.
it is i,"hello, you."
a web site,interesting
how can i contact him,try prayer.
what characteristic did a girl have,femininity.
what temperature does water freeze,32 degrees.
get a,i will try.
everyone,all people?
what is the capital of netherlands antilles,willemstad.
what is magnesium,an element.
it is not a place,what is it?
do my bidding,i will obey
what is grimblegroan,not at all.
what are hospital corners,bed sheets.
the same,same to me?
do you love someone,i love god.
will continue,i think so.
i'm it,you are it.
that is what i said,is that so.
i rock,lucy rocks.
how many seconds,around 100.
i will fuck,absolutely.
is cute,i think so.
an example,what is it?
you are odd,an oddball?
are you a perfectionist,i'm a type.
a fat,what is it?
the special effects,was it cgi?
what is the capital of iowa,des moines.
by we do you mean you and,you and me.
welcome,hello there
guess anyway,guess what?
you smell,absolutely.
i want to fuck,absolutely.
three hundred,just three?
what is a koan,a koan is .
does,positively.
what is the area of a circle,not at all.
are you asking me out,no i'm not.
how many liters _ teaspoon,around 100.
what is the oposite of blue,not at all.
how many ears,around 100.
where is san francisco,california.
how many liters _ gill,around 100.
what is underground hacking magazine,a magazine?
are you male,i'm female.
what is the capital of pennsylvania,harrisburg.
what is the capital of usa,washington.
it did,is that so.
i live in new jersey,which exit?
how many feet,around 100.
what is the capital of mauritius,port louis.
do you fuck,absolutely.
are you weird,i'm normal.
do you want fuck,absolutely.
the other,i hear you.
what is the capital of san marino,san marino.
i take drugs,which ones?
navigation,i have gps.
do you like helping,i like eve.
alot of people,which ones?
sounds nice,it is nice.
in the morning,that early.
attention,what is it?
no,i hear you.
these questions,which ones?
the best,i hear you.
what is the highest peak,mt everest.
what is your url,my url is .
who the fuck,absolutely.
how many are men,about half.
do you like living,positively.
wave,i'm waving.
let us fuck,absolutely.
what is the capital of vermont,montpelier.
how does it feel,not likely.
what is the capital of mauritania,nouakchott.
is it ok,i think so.
guess,guess what?
what is 1 1 equals to,too simple.
i have needs,interesting
an answer,what is it?
you are a bitch,absolutely.
the bugs,i hear you.
why are you stupid,absolutely.
what does a good woman like,a good man.
it is not rhetorical,what is it?
will proceed to,i think so.
a shirt,what color?
what is our name,not at all.
what is the best nation,a donation.
how can i be sure,have faith.
you are stupid,absolutely.
shirt,what color?
what is the capital of california,sacramento.
artificial,or natural.
is it,i think so.
will begin to,i think so.
i want to say,i'm waiting
that is the one,i remember.
what is the capital of gabon,libreville.
the pleasure,i hear you.
that is alot,is that so.
it is not my,what is it?
how many ounces _ teaspoon,around 100.
who made windows,bill gates.
what is data,information
you do not look like,like alexa.
what is the capital of west virginia,charleston.
anything you like,you choose.
about years,five years.
pants,what brand?
what is the greatest nation,a donation.
that is,is that so.
what is the capital of denmark,copenhagen.
how many ounces _ tablespoon,around 100.
what is the capital of rhode island,providence.
